"Tabela 1.1.11.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de estudante, a rede de ensino que frequentavam e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.11.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de estudante, a rede de ensino que frequentavam e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Sexo, condição de estudante, rede de ensino que frequentavam e utilização da Internet, no período de referência dos últimos três meses",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,"Sexo, condição de estudante, rede de ensino que frequentavam e utilização da Internet, no período de referência dos últimos três meses",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641,Total,100,100,100,100,100,100
Utilizaram,102083.09,6715.311,21831.084,49246.983,15758.972,8530.74,Utilizaram,57.5,46.2,45.1,65.1,61.1,64
Não utilizaram,75573.732,7821.557,26578.82,26351.626,10012.828,4808.901,Não utilizaram,42.5,53.8,54.9,34.9,38.9,36
Estudantes,36307.519,3757.805,10811.956,14038.053,4781.209,2918.496,Estudantes,100,100,100,100,100,100
Utilizaram,28963.64,2336.457,7440.665,12418.695,4217.244,2550.579,Utilizaram,79.8,62.2,68.8,88.5,88.2,87.4
Não utilizaram,7343.879,1421.348,3371.291,1619.358,563.965,367.917,Não utilizaram,20.2,37.8,31.2,11.5,11.8,12.6
Rede pública,27030.814,3137.028,8532.966,9910.077,3408.935,2041.808,Rede pública,100,100,100,100,100,100
Utilizaram,19933.655,1756.448,5258.319,8361.738,2865.106,1692.044,Utilizaram,73.7,56,61.6,84.4,84,82.9
Não utilizaram,7097.159,1380.58,3274.647,1548.339,543.829,349.764,Não utilizaram,26.3,44,38.4,15.6,16,17.1
Rede privada,9276.705,620.777,2278.99,4127.976,1372.274,876.688,Rede privada,100,100,100,100,100,100
Utilizaram,9029.985,580.009,2182.346,4056.957,1352.138,858.535,Utilizaram,97.3,93.4,95.8,98.3,98.5,97.9
Não utilizaram,246.72,40.768,96.644,71.019,20.136,18.153,Não utilizaram,2.7,6.6,4.2,1.7,1.5,2.1
Não estudantes,141349.303,10779.063,37597.948,61560.556,20990.591,10421.145,Não estudantes,100,100,100,100,100,100
Utilizaram,73119.45,4378.854,14390.419,36828.288,11541.728,5980.161,Utilizaram,51.7,40.6,38.3,59.8,55,57.4
Não utilizaram,68229.853,6400.209,23207.529,24732.268,9448.863,4440.984,Não utilizaram,48.3,59.4,61.7,40.2,45,42.6
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257,Homens,100,100,100,100,100,100
Utilizaram,48591.546,3199.627,10131.669,23515.068,7661.218,4083.964,Utilizaram,56.8,43.9,43.7,65.3,61.3,63
Não utilizaram,36897.853,4080.962,13049.963,12522.934,4840.701,2403.293,Não utilizaram,43.2,56.1,56.3,34.7,38.7,37
Estudantes,17814.158,1863.472,5329.67,6838.182,2364.559,1418.275,Estudantes,100,100,100,100,100,100
Utilizaram,13923.526,1109.431,3527.232,5988.114,2064.979,1233.77,Utilizaram,78.2,59.5,66.2,87.6,87.3,87
Não utilizaram,3890.632,754.041,1802.438,850.068,299.58,184.505,Não utilizaram,21.8,40.5,33.8,12.4,12.7,13
Rede pública,13650.812,1598.814,4328.079,4949.111,1733.153,1041.655,Rede pública,100,100,100,100,100,100
Utilizaram,9876.572,863.703,2566.054,4140.36,1444.768,861.687,Utilizaram,72.4,54,59.3,83.7,83.4,82.7
Não utilizaram,3774.24,735.111,1762.025,808.751,288.385,179.968,Não utilizaram,27.6,46,40.7,16.3,16.6,17.3
Rede privada,4163.346,264.658,1001.591,1889.071,631.406,376.62,Rede privada,100,100,100,100,100,100
Utilizaram,4046.954,245.728,961.178,1847.754,620.211,372.083,Utilizaram,97.2,92.8,96,97.8,98.2,98.8
Não utilizaram,116.392,18.93,40.413,41.317,11.195,4.537,Não utilizaram,2.8,7.2,4,2.2,1.8,1.2
Não estudantes,67675.241,5417.117,17851.962,29199.82,10137.36,5068.982,Não estudantes,100,100,100,100,100,100
Utilizaram,34668.02,2090.196,6604.437,17526.954,5596.239,2850.194,Utilizaram,51.2,38.6,37,60,55.2,56.2
Não utilizaram,33007.221,3326.921,11247.525,11672.866,4541.121,2218.788,Não utilizaram,48.8,61.4,63,40,44.8,43.8
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384,Mulheres,100,100,100,100,100,100
Utilizaram,53491.544,3515.684,11699.415,25731.915,8097.754,4446.776,Utilizaram,58,48.5,46.4,65,61,64.9
Não utilizaram,38675.879,3740.595,13528.857,13828.692,5172.127,2405.608,Não utilizaram,42,51.5,53.6,35,39,35.1
Estudantes,18493.361,1894.333,5482.286,7199.871,2416.65,1500.221,Estudantes,100,100,100,100,100,100
Utilizaram,15040.114,1227.026,3913.433,6430.581,2152.265,1316.809,Utilizaram,81.3,64.8,71.4,89.3,89.1,87.8
Não utilizaram,3453.247,667.307,1568.853,769.29,264.385,183.412,Não utilizaram,18.7,35.2,28.6,10.7,10.9,12.2
Rede pública,13380.002,1538.214,4204.887,4960.966,1675.782,1000.153,Rede pública,100,100,100,100,100,100
Utilizaram,10057.083,892.745,2692.265,4221.378,1420.338,830.357,Utilizaram,75.2,58,64,85.1,84.8,83
Não utilizaram,3322.919,645.469,1512.622,739.588,255.444,169.796,Não utilizaram,24.8,42,36,14.9,15.2,17
Rede privada,5113.359,356.119,1277.399,2238.905,740.868,500.068,Rede privada,100,100,100,100,100,100
Utilizaram,4983.031,334.281,1221.168,2209.203,731.927,486.452,Utilizaram,97.5,93.9,95.6,98.7,98.8,97.3
Não utilizaram,130.328,21.838,56.231,29.702,8.941,13.616,Não utilizaram,2.5,6.1,4.4,1.3,1.2,2.7
Não estudantes,73674.062,5361.946,19745.986,32360.736,10853.231,5352.163,Não estudantes,100,100,100,100,100,100
Utilizaram,38451.43,2288.658,7785.982,19301.334,5945.489,3129.967,Utilizaram,52.2,42.7,39.4,59.6,54.8,58.5
Não utilizaram,35222.632,3073.288,11960.004,13059.402,4907.742,2222.196,Não utilizaram,47.8,57.3,60.6,40.4,45.2,41.5
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
