"Tabela 1.1.20.3 - Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo as classes de rendimento mensal domiciliar per capita  -  2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Classes de rendimento mensal domiciliar per capita,"Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),57.4,46.1,45.1,65.1,61.1,63.9
Sem rendimento a 1/4 do salário mínimo (2),32.7,24.3,26.1,51.5,42.6,53
Mais de 1/4 a 1/2 salário mínimo,45,37.4,39.3,54.6,47.9,53.1
Mais de 1/2 a 1 salário mínimo,54.7,46.4,47.7,60.9,55.8,58.2
Mais de 1 a 2 salário mínimos,57.9,53.2,48.7,62,57.2,60.4
Mais de 2 a 3 salário mínimos,70.9,69.5,68.2,72.4,68,73.7
Mais de 3 a 5 salários mínimos,81.9,78.1,82.4,82.9,79.7,82.4
Mais de 5 a 10 salários mínimos,88.6,85.4,86.9,89.1,87.9,90.2
Mais de 10 salários mínimos,92.1,84.8,90.3,92.8,91,93.1
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,
(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.,,,,,,
