"Tabela 1.2.2.1 - Rendimento médio mensal domiciliar per capita das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o equipamento utilizado para acessar a Internet - 2015 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.2.2.2 - Rendimento mediano mensal domiciliar per capita das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o equipamento utilizado para acessar a Internet - 2015 ",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Equipamento utilizado para acessar a Internet," Rendimento médio mensal domiciliar per capita das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (R$)",,,,,,Equipamento utilizado para acessar a Internet," Rendimento mediano mensal domiciliar per capita das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (R$)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,1391,990,949,1536,1612,1613,Total,843,601,560,945,1095,960
Microcomputador,,,,,,,Microcomputador,,,,,,
Utilizaram,1640,1297,1182,1749,1794,1916,Utilizaram,1000,800,699,1065,1224,1134
Somente microcomputador,1150,778,737,1263,1355,1236,Somente microcomputador,765,496,450,833,962,788
Não utilizaram,780,654,564,881,973,910,Não utilizaram,571,482,412,662,756,698
Telefone móvel celular ou tablet,,,,,,,Telefone móvel celular ou tablet,,,,,,
Utilizaram,1421,1009,974,1572,1656,1646,Utilizaram,857,625,574,955,1119,980
Somente telefone móvel celular ou tablet,774,649,562,875,965,900,Somente telefone móvel celular ou tablet,566,482,411,661,751,697
Não utilizaram,1151,774,736,1261,1366,1237,Não utilizaram,765,482,453,834,965,788
Telefone móvel celular,,,,,,,Telefone móvel celular,,,,,,
Utilizaram,1421,1009,975,1572,1657,1647,Utilizaram,857,625,574,956,1120,982
Somente telefone móvel celular,752,641,554,846,924,891,Somente telefone móvel celular,560,477,406,650,747,694
Não utilizaram,1169,789,747,1285,1379,1252,Não utilizaram,766,499,459,844,971,791
Tablet,,,,,,,Tablet,,,,,,
Utilizaram,2492,2124,1735,2655,2504,3215,Utilizaram,1416,1299,942,1476,1635,1913
Somente tablet,986,787,583,1167,1290,831,Somente tablet,624,600,406,730,896,681
Não utilizaram,1189,892,834,1295,1439,1343,Não utilizaram,788,578,525,871,1000,893
Televisão,,,,,,,Televisão,,,,,,
Utilizaram,3206,2856,2494,3305,3079,4018,Utilizaram,1996,2042,1549,1984,2085,2623
Não utilizaram,1292,961,898,1423,1510,1474,Não utilizaram,809,599,547,900,1048,924
Outro equipamento,,,,,,,Outro equipamento,,,,,,
Utilizaram,2701,2592,2056,2781,2251,3860,Utilizaram,1670,1637,1400,1683,1556,2112
Não utilizaram,1383,985,946,1527,1609,1604,Não utilizaram,839,600,559,940,1090,959
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
